Model,MAE,RMSE,R2
Ridge (alpha=1),1.2643116030769512,2.252256510431963,0.6411295804494352
Lasso (alpha=0.1),1.2747405941775691,2.252364825117522,0.6410950622929523
Linear Regression,1.2664116983312448,2.253833534972932,0.640626844110519
Gradient Boosting Regr.,1.3326900590543918,2.3160836095434356,0.6205011826701947
Random Forest Regr.,1.4263637346012537,2.447484069453552,0.5762187790938196
KNN Regressor (k=5),1.5650529500756436,2.549996292008814,0.5399753979575479
Decision Tree Regr.,1.6106910529276937,2.6637001877122306,0.4980359171455818
